Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,,,Neomegamphopidae,,,Neomegamphopus,roosevelti,,"Shoemaker, 1942",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14806,Amphipods,amphipodo,,,Ecuador (Galapagos Islands),,Affin. Eastern pacific,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,,,Neomegamphopidae,,,Varohios,topianus,,"J.L. Barnard, 1979",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14796,Amphipods,amphipodo,,,Ecuador (Galapagos Islands),,Affin. Gulf of California,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,guaspare,,"J.L. Barnard, 1979",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14784,Amphipods,amphipodo,amphipodo,,Ecuador (Galapagos Islands),,Affin. Endemic sibling of cosmopolitan A. ramondi,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,plumulosa,,"Shoemaker, 1938",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,14783,Amphipods,amphipodo,amphipodo,"Subspecies Ampithoe plumulosa plumulosa Shoemaker, 1938, Ampithoe plumulosa tepahue J.L. Barnard, 1979, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,pollex,,"Kunkel, 1910",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14772,Amphipods,amphipodo,amphipodo,"Syn.: Ampithoe indentata Stout, 1913, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,ramondi,,"Audouin, 1826",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,15453,Amphipods,amphipodo,amphipodo,,"Golfo de California, Bahía de los Angeles, Bahía concepción, Islas Galápagos.",,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,tahue,,"J.L. Barnard, 1979",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14773,Amphipods,amphipodo,amphipodo,,,,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ampithoidae,,,Ampithoe,vacoregue,,"J.L. Barnard, 1979",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14774,Amphipods,amphipodo,amphipodo,,,,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Aoridae,,,Bemlos,achire,,"(J.L. Barnard, 1979)",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,15477,Amphipods,amphipodo,,"Syn.: Lembos achire J.L. Barnard, 1979, fide Appeltans et al. 2010",Ecuador (Galapagos Islands in Academy Bay of Santa Cruz),,,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Aoridae,,,Bemlos,macromanus,,"Shoemaker, 1925",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14789,Amphipods,amphipodo,,,"Caribean Sea, Venezuela and Ecuador (Galapagos Islands)",,Affin. Eastern Pacific,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Aoridae,,,Paramicrodeutopus,trichopus,,"(Myers, 1968)",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14805,Amphipods,amphipodo,,"Syn.: Microdeutopus trichopus Myers, 1968, fide Barnard (1991)",Ecuador (Galapagos Islands),,Affin. Pan-American,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Corophiidae,Corophiinae,Corophiini,Laticorophium,baconi,,"(Shoemaker, 1934)",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14801,Amphipods,amphipodo,,"Syn.: Corophium baconi Shoemaker, 1934 (basionym), fide Appeltans et al. (2010)",Ecuador (Galapagos Islands),,Affin. East Pacific enormously adaptable,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ischyroceridae,Ischyrocerinae,Ischyrocerini,Ischyrocerus,litotes,,"J.L. Barnard, 1954",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,15206,Amphipods,amphipodo,amphipodo,,,,California,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ischyroceridae,Ischyrocerinae,Ischyrocerini,Microjassa,chinipa,,"J.L. Barnard, 1979",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14785,Amphipods,amphipodo,amphipodo,Holotype of National Museum of Natural History NMNH Invertebrate Zoology Collections,Ecuador (Galapagos Islands),,Affin. Panama,,,
Eukaryota,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidea,,Ischyroceridae,Ischyrocerinae,Siphonoecetini,Ericthonius,punctatus,,"(Bate, 1857)",NoData,NoData,,1,,,,,,,,,,,True,,,,,,,,True,,,14771,Amphipods,amphipodo,amphipodo,"Syn.: Cerapus abditus Templeton, 1836, Dercothoe punctatus Bate, 1862, Elasmopus brasiliensis (Dana, 1855), Erichthonius brasiliensis (Dana, 1853), Ericthonius abditus G.O. Sars, 1894 (Synonym), Ericthonius brasiliensis (Dana, 1852), Podocerus brasiliensis (Dana, 1853), Podocerus punctatus Bate, 1857 (basionym), fide Appeltans et al. (2010)",,,Affin. Pan american,,,
